,sentence,pred_sentence_tok,sentence_tok,pred_sentence
0,พลโทแล้วเอาจริงจริงอ่ะนะถ้าผมได้เป็นทาหารแล้วเข้าไปในกรมอ่ะนะเออเมื่อวานเข้าไป,คน ทูก์ แล้ว เอาจริง อ่ะ นะ ถ้า ผม ได้ เป็น หา ร่า เข้าไป ใน กร มะ น้ะ เออ มึ วาน ก็ ไป,พลโท แล้ว เอาจริง จริง อ่ะ นะ ถ้า ผม ได้ เป็น ทา หาร แล้ว เข้าไป ในกรม อ่ะ นะ เออ เมื่อวาน เข้าไป,คนทูก์แล้วเอาจริงอ่ะนะถ้าผมได้เป็นหาร่าเข้าไปในกรมะน้ะเออมึวานก็ไป
1,ใช้สองเครื่องนี้เล่นนะเห็นป้ะเนียอ่าเล่นอาโอวีได้น้าอ่าเห็นไหมอูหูวลื่นโคตรลื่น,ไอ้ สอง เครื่อง นี้ เล่น นะ ใช้ ป็นนีย อ่า เล่ะ ดาว วี ได้ นะ ไห่ แว๊ หู ลื่น โค,ใช้ สอง เครื่อง นี้ เล่น นะ เห็น ป้ะเนีย อ่า เล่น อา โอ วี ได้ น้า อ่า เห็น ไหม อู หู ว ลื่น โคตร ลื่น,ไอ้สองเครื่องนี้เล่นนะใช้ป็นนียอ่าเล่ะดาววีได้นะไห่แว๊หูลื่นโค
2,เพื่อนว่าไงเข้าป่าวนาคอสเข้าดิวีร่าวีร่าวีร่าว่าไงโห่วีร่ามันมันหนีวะ,ป็นบึาน ไง ข้าวป่า วนา คอ ส เก้า ดิ วี ได้ า วี ร่า วี ร่า ไป ไ โอ วี ร่า มัน มัน หนี ว่ะ,เพื่อน ว่า ไง เข้า ป่า วนา คอ ส เข้า ดิ วี ร่า วี ร่า วี ร่า ว่า ไง โห่ วี ร่า มัน มัน หนี วะ,ป็นบึานไงข้าวป่าวนาคอสเก้าดิวีได้าวีร่าวีร่าไปไโอวีร่ามันมันหนีว่ะ
3,ไม่กลับตายควยเป็นไง,แม่ ง กาบ ป้า ควย เป็นไง,ไม่ กลับ ตาย ควย เป็นไง,แม่งกาบป้าควยเป็นไง
4,โง่ดักดานจริงจริงเลยไอ้พวกเหี้ย,โง่ นัง ดา เจ ริ ง จริง เลย อ้วก เหี้ย,โง่ ดักดาน จริง จริง เลย ไอ้ พวก เหี้ย,โง่นังดาเจริงจริงเลยอ้วกเหี้ย
5,เห้ยให้มันโซโลอยู่โซโลอยู่ท่านผู้ชมเอาดิแวนแวนน่าจะตายผมนะผมน่าจะได้แวนนะ,เห้ยห้ มัน โซล งอ ย่าม ซลน อยู่ แช่ ชม เอ่าวดิ้ แวน แว นั้น จะ ตาย ผม นะ มึง น่าจะ ได้ แวน นะ,เห้ย ให้ มัน โซโล อยู่ โซโล อยู่ ท่าน ผู้ชม เอา ดิ แวน แวน น่าจะ ตาย ผม นะ ผม น่าจะ ได้ แวน นะ,เห้ยห้มันโซลงอย่ามซลนอยู่แช่ชมเอ่าวดิ้แวนแวนั้นจะตายผมนะมึงน่าจะได้แวนนะ
6,ทำหน้าเจื่อนเจื่อน่ะเหี้ยตอนนั้นผมแบบรู้สึกผิดมากเหี้ยแบบผมอยากจะบอกขอโทษว่าเหี้ยกูขอโทษ,ท้ำ น่า จจืน เจือ น น่ะ ให้ เห ีปนคน้งผม แบบ ม รู้สึก ผิด มาก เหี้ย แบบ พผม อยาก จะ บอก ขอโทษ เระ เอ้ย กู ขอโทษ,ทำ หน้าเจื่อน เจื่อ น่ะ เหี้ย ตอนนั้น ผม แบบ รู้สึก ผิด มาก เหี้ย แบบผม อยาก จะ บอก ขอโทษ ว่า เหี้ย กู ขอโทษ,ท้ำน่าจจืนเจือนน่ะให้เหีปนคน้งผมแบบมรู้สึกผิดมากเหี้ยแบบพผมอยากจะบอกขอโทษเระเอ้ยกูขอโทษ
7,นี่ครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนหนึ่งโดนกล่าวหาว่าก๊อป,เป็นครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน นึง โดน กล่าว หาว่า ก๊อ ป,นี่ ครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน หนึ่ง โดน กล่าว หาว่า ก๊อ ป,เป็นครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนนึงโดนกล่าวหาว่าก๊อป
8,ฮากูมากป้ะ,ห่า กู มาก ป้า,ฮา กู มาก ป้ะ,ห่ากูมากป้า
9,มึงให้กูเขียนว่าอะไรนะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึงให้กูเขียนว่าอะไรนะ
10,กากไงเพิ่มนี่เพิ่มหิวหรือเพิ่มขาดเดี๋ยวจะจัดให้เพิ่มทุกทีอ่า,มึง ตราบ ไง เพิ่ม นี่ พื่อ มหิ วห รึ พื่อมข ราด เดี๋ยว จะ จัด ให้ กู,กาก ไง เพิ่ม นี่ เพิ่ม หิว หรือ เพิ่ม ขาด เดี๋ยว จะ จัด ให้ เพิ่ม ทุกที อ่า,มึงตราบไงเพิ่มนี่พื่อมหิวหรึพื่อมขราดเดี๋ยวจะจัดให้กู
11,นี่ถ้าพูดอีกสักสองสามรอบนี่กูบ้าตามแน่แน่,นี่ ถ้า พูด อีก สัก สอง สาม ล๊อ มี่ กู บ้า ตาม แล้ว เนีย,นี่ ถ้า พูด อีก สัก สอง สาม รอบ นี่ กู บ้า ตาม แน่ แน่,นี่ถ้าพูดอีกสักสองสามล๊อมี่กูบ้าตามแล้วเนีย
12,เอาดินาคอสนาคอสนี่นี่วีร่าวีร่าเอาดิเดี๋ยวผมรอนะผมรอมีวีร่าอยู่ในป่าอยู่,ออ ดี นา ค้อ นา รน นัมี วี ร่า เวี ร่า ออ ลี่ เดี๋ยว ผม รอ นะ ผม ลอง นีเว ร่า อะ ปา อยู่,เอา ดิ นา คอ ส นา คอ ส นี่ นี่ วี ร่า วี ร่า เอา ดิ เดี๋ยว ผม รอ นะ ผม รอ มี วี ร่า อยู่ ใน ป่า อยู่,ออดีนาค้อนารนนัมีวีร่าเวีร่าออลี่เดี๋ยวผมรอนะผมลองนีเวร่าอะปาอยู่
13,มึงทำแค่นี้แล้วมึงได้ขนาดนี้,มึง ทำ แค่นี้ แล้ว มึง ได้ขนาด นี้ อ่ะ,มึง ทำ แค่นี้ แล้ว มึง ได้ขนาด นี้,มึงทำแค่นี้แล้วมึงได้ขนาดนี้อ่ะ
14,มันเป็นข้อดีด้วยซ้ำไม่ใช่เหรอที่การสันนิษฐานของมึง,มัน เป็น ข้อดี ด้วย ซั้มั้ เห่ ใน การ สัด ึ ฐาน ของ มึง,มัน เป็น ข้อดี ด้วยซ้ำ ไม่ ใช่ เหรอ ที่ การสันนิษฐาน ของ มึง,มันเป็นข้อดีด้วยซั้มั้เห่ในการสัดึฐานของมึง
15,มึงแยกไม่ออกด้วยซ้ำว่าแม่งคือคนละคลิปกัน,มึง แยก ไม่ ออก ด้วย ซาก มา รถ แม่ ง คือ คน ล คลิป กัน,มึง แยก ไม่ ออก ด้วยซ้ำ ว่า แม่ ง คือ คนละ คลิป กัน,มึงแยกไม่ออกด้วยซากมารถแม่งคือคนลคลิปกัน
16,ปากีอ่ะหิวหีด้วย,อู ปาก กี อ่ะ ศิว วิ หี ด้วย,ปากี อ่ะ หิว หี ด้วย,อูปากกีอ่ะศิววิหีด้วย
17,เค้าจะใช้แฮ็คก็เรื่องของเขามันไม่ได้เกี่ยวกับเรา,ร เขา จะ ใช้ แค้ ง กะ เห ริ ด ของ เขา มัน ไม่ ได้ เกี่ยวกับ เรา,เค้า จะ ใช้ แฮ็ค ก็ เรื่อง ของ เขา มัน ไม่ ได้ เกี่ยวกับ เรา,รเขาจะใช้แค้งกะเหริดของเขามันไม่ได้เกี่ยวกับเรา
18,เป็นควายนะไอ้เหี้ย,มึง เป็นความ นั่อ้ เหี้ย,เป็น ควาย นะ ไอ้ เหี้ย,มึงเป็นความนั่อ้เหี้ย
19,นี่น่าจะเป็นเป้าหมายหลักเป้าหมายหลักครับที่โอตะตัวปลอมใช้ในการก๊อปปี้,แถะ นี่ ย น่าจะเป็น ทาร์ เก็ต ลัก หลัก ครับ ที่ โอ ตะ ตัว ปลอม ใช้ ใน การ ก๊อ ป ปี,นี่ น่าจะเป็น เป้าหมายหลัก เป้าหมายหลัก ครับ ที่ โอ ตะ ตัว ปลอม ใช้ ใน การก๊อปปี้,แถะนี่ยน่าจะเป็นทาร์เก็ตลักหลักครับที่โอตะตัวปลอมใช้ในการก๊อปปี
20,เดี๋ยวนี้ก๊อปมันเป็นคำคำหนึ่งที่แบบมึงอยากจะใช้มึงก็ใช้,เดี๋ยวนี้ ก๊อ ป มัน เป็น คำ คำนึง ที่ แบบ มึง อยาก จะ ใช้ มึง ก็ แถ,เดี๋ยวนี้ ก๊อ ป มัน เป็น คำ คำ หนึ่ง ที่ แบบ มึง อยาก จะ ใช้ มึง ก็ ใช้,เดี๋ยวนี้ก๊อปมันเป็นคำคำนึงที่แบบมึงอยากจะใช้มึงก็แถ
21,ที่สำคัญกว่านั้นก็คือเราสามารถที่จะบอกวิธีแก้ไขปัญหา,ทึงท่ ที่ สำคัญ กว่า นั้น ก็ คือ เรา สามารถ ที่จะ บอก วิธี แก้ ใคร กั ได้,ที่ สำคัญ กว่า นั้น ก็ คือ เรา สามารถ ที่จะ บอก วิธี แก้ไขปัญหา,ทึงท่ที่สำคัญกว่านั้นก็คือเราสามารถที่จะบอกวิธีแก้ใครกัได้
22,เอ่าเอ้าเอ้าแล้วคือเหี้ยอะไรกูกดกลับไม่ได้โอ้ยสมองกูเป็นเหี้ยอะไร,อี เอา เอา เอา แล้วก็ เหี้ย อะไร กู กด กับ ไม่ ได้ โอ้ย สมอง กู เป็น เหี้ย อะไร,เอ่าเอ้าเอ้า แล้ว คือ เหี้ย อะไร กู กด กลับ ไม่ ได้ โอ้ย สมอง กู เป็น เหี้ย อะไร,อีเอาเอาเอาแล้วก็เหี้ยอะไรกูกดกับไม่ได้โอ้ยสมองกูเป็นเหี้ยอะไร
23,แม่มึงอ่ะเหลืองเตอะฟันมึงเองรึป่าวไอ้ควาย,แม่ มึง อะ เหลือก เติก ฟัน มึง เอง รึ บ หาย ควาย,แม่ มึง อ่ะ เหลือง เตอะ ฟัน มึง เอง รึ ป่าว ไอ้ ควาย,แม่มึงอะเหลือกเติกฟันมึงเองรึบหายควาย
24,ใสมากกูคือกูใสแบบใสสัดสัดเลยเราไม่รู้เปิดกูเกิลไปปั้บที่นี่กด,ใส่ มาก กู คือ กู ใส แอบ ใส สัด สัด เลย เล้ ไม่ รู้ ว้ย เปิด กู เกิน ใบ บับ ที อ,ใส มาก กู คือ กู ใส แบบ ใส สัด สัด เลย เรา ไม่ รู้ เปิด กูเกิล ไป ปั้บ ที่นี่ กด,ใส่มากกูคือกูใสแอบใสสัดสัดเลยเล้ไม่รู้ว้ยเปิดกูเกินใบบับทีอ
25,วินแล้วแล้วก็มีผู้หญิงคนนึงซ้อนท้ายแล้วก็บอกบ๊ายบายเดี๋ยวชั่วโมงนึงพี่กลับมานะซันนี่แล้วก็นั่งมอไซวินไปบึ้น,เซ วิน แล้ว ผูหญิ หนึ่ง ซ้อนท้าย แล้วก็ บอก ใบ บาย เด็ก ชั่วโมง นึง พี่ กลับ มานะ ซะ นี่ แล้วก็ นั่ง รอ ไซ วิน ไ,วิน แล้ว แล้วก็ มี ผู้หญิง คน นึง ซ้อนท้าย แล้วก็ บอก บ๊ายบาย เดี๋ยว ชั่วโมง นึง พี่ กลับ มานะ ซันนี่ แล้วก็ นั่ง มอ ไซ วิน ไป บึ้น,เซวินแล้วผูหญิหนึ่งซ้อนท้ายแล้วก็บอกใบบายเด็กชั่วโมงนึงพี่กลับมานะซะนี่แล้วก็นั่งรอไซวินไ
26,ไม่ใช่ครับคริ้นที่มึงนี่แหละ,ไม่ ใช่ ครับ ค ริ้น ที่ มึง เนี่ย และ,ไม่ ใช่ ครับ ค ริ้น ที่ มึง นี่แหละ,ไม่ใช่ครับคริ้นที่มึงเนี่ยและ
27,แร็ปกูจับไมค์แต่ว่าในใจอยากจับนมนะฮือมึงควรดูบ้องด้วย,เรา แร ว กู จับ หม่ แต่ว่า แด่ ใจ อยาก จับ นมะ ฮื้อ กู ก็ ดู ฟอง ด้ววย,แร็ป กู จับ ไมค์ แต่ว่า ใน ใจ อยาก จับ นม นะ ฮือ มึง ควร ดู บ้อง ด้วย,เราแรวกูจับหม่แต่ว่าแด่ใจอยากจับนมะฮื้อกูก็ดูฟองด้ววย
28,แต่เราลองมาฟังดูดีกว่าครับว่าปรสิตคุงเนี้ยจะว่ายังไง,แต่ เรา ลอ มา ฟัง ดู ดีกว่า ครับ ว่า ปรสิต คง เนี่ย จะ ว่า ยังไง,แต่ เรา ลอง มา ฟัง ดู ดีกว่า ครับ ว่า ปรสิต คุง เนี้ย จะ ว่า ยังไง,แต่เราลอมาฟังดูดีกว่าครับว่าปรสิตคงเนี่ยจะว่ายังไง
29,เห้ยทำไมวันไหนมันยากมันก็จะยากทุกเกมเลยวะไอ้เหี้ย,เอ้ย กู ทำไม วัน ไหน มัน ยาก เหมือน ก็ จะ ยาก กู เกม เลย ไว้ ีย,เห้ย ทำไม วัน ไหน มัน ยาก มัน ก็ จะ ยาก ทุก เกม เลย วะ ไอ้ เหี้ย,เอ้ยกูทำไมวันไหนมันยากเหมือนก็จะยากกูเกมเลยไว้ีย
30,บอกคนทั้งซอยหรอกมึงกลัวกูไม่ตื่นเช้าหรอ,ึ โปก บน ทั้ง ซอย หรอก มึง กลัว กู ไม่ ตื่น ตอน ชะ ะ อา หวย,บอก คน ทั้ง ซอย หรอก มึง กลัว กู ไม่ ตื่น เช้า หรอ,ึโปกบนทั้งซอยหรอกมึงกลัวกูไม่ตื่นตอนชะะอาหวย
31,ครับผมไม่ได้เสียอะไรผมทำคลิปดีดีแบบนี้ออกมาแต่มึงไม่ดูเรื่องของมึงดิ,ครับผม ไม่ ได้เสีย อะ ไรผม ทำ คลิป ดี ดี แบบนี้ ออกมา แต่ มึง ไม่ ดู เรื่อง ของ มึง ดี,ครับผม ไม่ ได้เสีย อะ ไรผม ทำ คลิป ดี ดี แบบนี้ ออกมา แต่ มึง ไม่ ดู เรื่อง ของ มึง ดิ,ครับผมไม่ได้เสียอะไรผมทำคลิปดีดีแบบนี้ออกมาแต่มึงไม่ดูเรื่องของมึงดี
32,คือมึงจะตั้งชื่อคลิปไม่เหมือนปกคลิปไม่เหมือนมึงคิดว่ากูไม่รู้หรอ,ถอ มึง จะ ตั้งชื่อ คลิป ไม่ เหมือน ปก คลิป ไม่ เหมือน มึง คิด ว่า กู ไม่ รู้ รอ,คือ มึง จะ ตั้งชื่อ คลิป ไม่ เหมือน ปก คลิป ไม่ เหมือน มึง คิด ว่า กู ไม่ รู้ หรอ,ถอมึงจะตั้งชื่อคลิปไม่เหมือนปกคลิปไม่เหมือนมึงคิดว่ากูไม่รู้รอ
33,คือมึงทำได้เวอร์เหี้ยเหี้ยเลย,คือ มึง ทำได้ เว่า เห ี้ เหี้ย เลย อีก,คือ มึง ทำได้ เวอร์ เหี้ย เหี้ย เลย,คือมึงทำได้เว่าเหี้เหี้ยเลยอีก
34,แม่งลอยไปนเสา,แม่ ง ร้อย ไป ชด เสา,แม่ ง ลอย ไป น เสา,แม่งร้อยไปชดเสา
35,กูเซ็ทมายเซ็ทละกูพูดอะไรในนี้ก็ถือว่าสมมุติละกันมันเป็นเรื่องสมมุติมันมันเป็นอิสลาม,อ กู เซ ซ มาย เซ็จล้ะ กู พูด ระ ย่า งี้ ก็ ับผู วะ ส มุ ติระ งั้น มัน เปน เรอ สมมุติ มัน มัน เป็น อิส ลาน,กู เซ็ท มาย เซ็ท ละ กู พูด อะไร ใน นี้ ก็ ถือว่า สมมุติ ละ กัน มัน เป็นเรื่อง สมมุติ มัน มัน เป็น อิสลาม,อกูเซซมายเซ็จล้ะกูพูดระย่างี้ก็ับผูวะสมุติระงั้นมันเปนเรอสมมุติมันมันเป็นอิสลาน
36,ผิดครับไอ้สัสยังคงมุ่งมั่นแน่วแน่ตรงคอนเซปต์ของตัวเองคลิปของคนอื่นร้อยเปอร์เซ็น,ผี ด ครับ ไอ้ สัด นึง คง มุง มั่น แนว แน ตรง คอน เซิร์ต ของ ตัวเอง คลิป ของ คนอื่น ร้อย เปอร์เซ็นต์,ผิด ครับ ไอ้ สัส ยังคง มุ่งมั่น แน่วแน่ ตรง คอนเซปต์ ของ ตัวเอง คลิป ของ คนอื่น ร้อย เปอร์ เซ็น,ผีดครับไอ้สัดนึงคงมุงมั่นแนวแนตรงคอนเซิร์ตของตัวเองคลิปของคนอื่นร้อยเปอร์เซ็นต์
37,ตายตายกูตาย,ตาย ตาย กู ตาย,ตาย ตาย กู ตาย,ตายตายกูตาย
38,กูจะ,กู เย็ด ท้ กู,กู จะ,กูเย็ดท้กู
39,ครับโอเคเข้าใจตรงกันนะมึงรับไม่ได้มึงออกแชทไปมงออกไปถ้า,ครับ โอเค เข้า ใจตรงกัน นะ มึง ลับ ไม่ ได้ มึง ออก แชท ไป มึง ออก ไป ถ้า,ครับ โอเค เข้า ใจตรงกัน นะ มึง รับ ไม่ ได้ มึง ออก แชท ไป มง ออก ไป ถ้า,ครับโอเคเข้าใจตรงกันนะมึงลับไม่ได้มึงออกแชทไปมึงออกไปถ้า
40,เว้ยกูหงุดหงิดจริงนะเว้ย,เว้ย กู งุด งิ น จริง ละ เว้ย ดู กู ด้วย นะ โง้ย ไอ ี้ เหี้ย มััง มึง คิด,เว้ย กู หงุดหงิด จริง นะ เว้ย,เว้ยกูงุดงินจริงละเว้ยดูกูด้วยนะโง้ยไอี้เหี้ยมัังมึงคิด
41,เด้าใตดูเต่งตึงตอนตบเต้าเห็นแล้วอยากตบเต้าไต่อยากให้เต้าใต่มาตบ,เด้า ใต่ สุ เต่งตึง จอน ตบ เต้า เห็น แล้ อยาก ตบ เต้า แต่ จาก ให้ เต้า ใส่ มา ก่อ,เด้า ใต ดู เต่งตึง ตอน ตบ เต้า เห็น แล้ว อยาก ตบ เต้า ไต่ อยาก ให้ เต้า ใต่ มา ตบ,เด้าใต่สุเต่งตึงจอนตบเต้าเห็นแล้อยากตบเต้าแต่จากให้เต้าใส่มาก่อ
42,ผมทำคลิปตำนานกับมันเนี่ยครับมันไม่ตอบเลยมันบอกว่ามันจะ,ผม ทำ คลิป ตำนาน กว่า บ มาน เนี่ย ครับ มัน ไม่ ตอบ เลย มัน บอ กว่า มัน เจอ,ผม ทำ คลิป ตำนาน กับ มัน เนี่ย ครับ มัน ไม่ ตอบ เลย มัน บอ กว่า มัน จะ,ผมทำคลิปตำนานกว่าบมานเนี่ยครับมันไม่ตอบเลยมันบอกว่ามันเจอ
43,ไม่ใช่แค่ตัวละครที่มึงจินตนาการขึ้นมา,ไม่ ใช่ แค่ ตัวละคร ที่ มึง จินตนาการ ขึ้น มา,ไม่ ใช่ แค่ ตัวละคร ที่ มึง จินตนาการ ขึ้น มา,ไม่ใช่แค่ตัวละครที่มึงจินตนาการขึ้นมา
44,ภาพหน้าตูดหน้าบูดเป็นตูดแทยอยากจะสับสักสักศอกใส่อีห่านี้แล้วให้กูออกหลังร้านด้วยไม่ให้,ภาพ หน้า ตูน น้า บูท เป็น ตูน แท่ จะ ก่ จะ ศับ สัก สับ สอง ซีก ห่า รเนี่ และ ให้ ว กู ออก หลัง ร้าน โย ไม่ ห,ภาพ หน้า ตูด หน้าบูด เป็น ตูด แทย อยาก จะ สับ สัก สัก ศอก ใส่ อี ห่า นี้ แล้ว ให้ กู ออก หลัง ร้าน ด้วย ไม่ ให้,ภาพหน้าตูนน้าบูทเป็นตูนแท่จะก่จะศับสักสับสองซีกห่ารเนี่และให้วกูออกหลังร้านโยไม่ห
45,แบบเออกูอยากจะแบบถอกควยออกมาแล้วแบบชักให้พวกมึงดูเลยไอ้เหี้ยกูหงุดหงิดวะ,แบบ เออ กู อยาก จะ น แว็บ ถอก ควย ออกมา แล้ว แบบ ฉัก ให้ พวก มึง ดู เลย ไอ้ เหี้ย กู วุด ห งิ ด วะ,แบบ เออ กู อยาก จะ แบบ ถอก ควย ออกมา แล้ว แบบ ชัก ให้ พวก มึง ดู เลย ไอ้ เหี้ย กู หงุดหงิด วะ,แบบเออกูอยากจะนแว็บถอกควยออกมาแล้วแบบฉักให้พวกมึงดูเลยไอ้เหี้ยกูวุดหงิดวะ
46,ค้อนทุบโทรศัพท์นี้ทิ้,อ ทุกข์ โทรศัพท์ นี้ ชิ่ เลย อ่ะ คือ ผม ซื้อ มา สาม แสน อะ เคื่องง จัง ออ บอก ราคา ใด เต็ม ก็ได้,ค้อน ทุบ โทรศัพท์ นี้ ทิ้,อทุกข์โทรศัพท์นี้ชิ่เลยอ่ะคือผมซื้อมาสามแสนอะเคื่องงจังออบอกราคาใดเต็มก็ได้
47,ไอ้เหี้ย,ไอ้ เหี้ย,ไอ้ เหี้ย,ไอ้เหี้ย
48,ไอ้ควายไอ้เด็กั่วไอ้ต๋อย,แม้ ไอ้ ควาย ไอ เด็ก ของ ชุ่ หัว เอ้ ง ร้อย,ไอ้ ควาย ไอ้ เด็ก ั่ว ไอ้ ต๋อย,แม้ไอ้ควายไอเด็กของชุ่หัวเอ้งร้อย
49,มันเป็นการก๊อปที่ไม่จำเป็นโดนแดกได้ง่ายและยังเสี่ยงถูกประจานอีกด้วย,มัน เป็นการ ก๊อ ป ที่ ไม่ จำเป็น โดน แดก เด่า ย ง่าย และ ย ยัง เสี่ยง ถูก ประ จานย์ อีกด้วย,มัน เป็นการ ก๊อ ป ที่ ไม่ จำเป็น โดน แดก ได้ ง่าย และ ยัง เสี่ยง ถูก ประจาน อีกด้วย,มันเป็นการก๊อปที่ไม่จำเป็นโดนแดกเด่ายง่ายและยยังเสี่ยงถูกประจานย์อีกด้วย
50,รู้สึกผูกพันใช่ไหมละครับคือเราแทบไม่ได้มีปฏิสัมพันธ์,รู้สึก ผูกพัน ใช่ไหม หละ ครับ คือ รอ แทบ ไม่ ได้ มี ปติ สำคัญ,รู้สึก ผูกพัน ใช่ไหม ละ ครับ คือ เรา แทบ ไม่ ได้ มี ปฏิสัมพันธ์,รู้สึกผูกพันใช่ไหมหละครับคือรอแทบไม่ได้มีปติสำคัญ
51,มันก็เอาคลิปของคนอื่นมาประกอบทั้งทั้งที่มึงก็เล่นเกมนั้น,มัน ก็ เอา คลิป ของ คนอื่น มา ประกอบ ทั้ง ทั้งที่ มึง ก็ เล่น เก ต นั้น อยู่,มัน ก็ เอา คลิป ของ คนอื่น มา ประกอบ ทั้ง ทั้งที่ มึง ก็ เล่น เกม นั้น,มันก็เอาคลิปของคนอื่นมาประกอบทั้งทั้งที่มึงก็เล่นเกตนั้นอยู่
52,เหี้ยเป็นโรคแบบโรคคนดังกูไม่กินของหวานกูคือไม่กินของหวานคือไม่กินขนมเลยบนโลก,ไป้ เหี้ย เป็น โล ค แบบ โล คค น ดัง กู จะ กก ไม่ กิน ของหวาน กู ก็ คือ ไม่ ท่ง เ้ ของหวาน กู ู กู ไม่ กิน ขนม เลย บัน โล,เหี้ย เป็นโรค แบบ โรค คนดัง กู ไม่ กิน ของหวาน กู คือ ไม่ กิน ของหวาน คือ ไม่ กิน ขนม เลย บน โลก,ไป้เหี้ยเป็นโลคแบบโลคคนดังกูจะกกไม่กินของหวานกูก็คือไม่ท่งเ้ของหวานกููกูไม่กินขนมเลยบันโล
