,sentence,pred_sentence_tok,sentence_tok,pred_sentence
53,ไม่มีใครเขาเคยบอกหรอว่ามึงฆ่าตำนานไม่ได้,มึง มี ใคร ก็ เคย บอก ก็ เลย วะ มึง ฆ่า ต่ำ นาน ไม่ ได้,ไม่ มี ใคร เขา เคย บอก หรอ ว่า มึง ฆ่า ตำนาน ไม่ ได้,มึงมีใครก็เคยบอกก็เลยวะมึงฆ่าต่ำนานไม่ได้
54,สอนตัวเองเถอะไอ้เวรมึงอ่ะดูตัวมึงก่อน,สอด ตัวเอง เถอก ไอ้เวร มึง จะ ดู ก ตัว มา ก่อน,สอน ตัวเอง เถอะ ไอ้เวร มึง อ่ะ ดูตัว มึง ก่อน,สอดตัวเองเถอกไอ้เวรมึงจะดูกตัวมาก่อน
55,กูโปะไข่ให้ด้วยไอ้เหี้ยร้อนร้อนนาบหน้าแม่งอ่ะไอ้สัด,กู ปก ใคร วใ้ ด้วย เหี้ย เล้า ร้อน นาบ หน้า แม่ ง ไง ไอ้ สัด,กู โปะ ไข่ ให้ ด้วย ไอ้ เหี้ย ร้อน ร้อน นาบ หน้า แม่ ง อ่ะ ไอ้ สัด,กูปกใครวใ้ด้วยเหี้ยเล้าร้อนนาบหน้าแม่งไงไอ้สัด
56,ไอ้เหี้ย,ไอ้ เหี้ย,ไอ้ เหี้ย,ไอ้เหี้ย
57,เป็นหัวเป็นไก่แจ้แล้วไม่ใช่ค่าจะไม่ใช่ตรงไหน,โอ โอ เป็น หัว ไป ไก่แจ้ ไร กี ไม่ ใช่ คา ไม่ เคย ตรงไหน,เป็น หัว เป็น ไก่แจ้ แล้ว ไม่ ใช่ ค่า จะ ไม่ ใช่ ตรงไหน,โอโอเป็นหัวไปไก่แจ้ไรกีไม่ใช่คาไม่เคยตรงไหน
58,แต่วันใดวันหนึ่งที่ผลประโยชน์เริ่มต่างออกไปเริ่มมีอะไรที่ขัดใจกันเอง,แต่ วันใดวันหนึ่ง ที่ ผลประโยชน์ เริ่ม ต่าง อ่อ ไป เริ่ม มี อะไร ที่ ขัดใจ กันเอง,แต่ วันใดวันหนึ่ง ที่ ผลประโยชน์ เริ่ม ต่าง ออก ไป เริ่ม มี อะไร ที่ ขัดใจ กันเอง,แต่วันใดวันหนึ่งที่ผลประโยชน์เริ่มต่างอ่อไปเริ่มมีอะไรที่ขัดใจกันเอง
59,ทำไมมึงถึงต้องเอาคลิปคนอื่นมาประกอบอ่ะ,แต่ ทำไม มึง ถึง ก็ เอา คลิป คนอื่น มา ประกอบ มะ,ทำไม มึง ถึง ต้อง เอา คลิป คนอื่น มา ประกอบ อ่ะ,แต่ทำไมมึงถึงก็เอาคลิปคนอื่นมาประกอบมะ
60,เอาไงจ้ะเห้ยเซฟิสเซฟิสดึงมาดิเซฟิสสวยเซฟิสเซฟิส,เอ่า ไง จะ เอ้ ใส ซิ เซ ฟิ ดึง มา ดิ เส เส็ด ซี้ ช เอ ฟิน สวย เต่ บิด เอ่ะบ อา,เอา ไง จ้ะ เห้ย เซ ฟิส เซ ฟิส ดึง มา ดิ เซ ฟิส สวย เซ ฟิส เซ ฟิส,เอ่าไงจะเอ้ใสซิเซฟิดึงมาดิเสเส็ดซี้ชเอฟินสวยเต่บิดเอ่ะบอา
61,กูปัญญาอ่อนไง,กู ปัญญาอ่อน,กู ปัญญาอ่อน ไง,กูปัญญาอ่อน
62,โมงครึ่งมีแต่เกมเหี้ยอะไรอย่างงี้ให้กูเล่นกูก็แม่งก็เล่นเป็นควายเลยสัด,อง ครึ่ง มี แต่ า เกม เหี้ย อะไร ไอ ีกดี้ กู เล่น โห้ว กู ก็ แม่ ง ก็ เล่น เป็น ควาย เลย ไอ้ สัด,โมง ครึ่ง มี แต่ เกม เหี้ย อะไร อย่างงี้ ให้ กู เล่น กู ก็ แม่ ง ก็ เล่น เป็น ควาย เลย สัด,องครึ่งมีแต่าเกมเหี้ยอะไรไอีกดี้กูเล่นโห้วกูก็แม่งก็เล่นเป็นควายเลยไอ้สัด
63,แม่งด่ากันแรงเกินบางทีอ่ะ,แม่ ง ดาก กะ น แรง เกิน บัง ที อ่,แม่ ง ด่า กัน แรง เกิน บางที อ่ะ,แม่งดากกะนแรงเกินบังทีอ่
64,ไม่ครับนี่ไม่ใช่เรฟเฟอเร้นครับมึงไม่ได้เพิ่มเติมเนื้อหาด้วยมึงก็อปครับ,ไม่ ครับ นี่ ไม่ ใช่ ไร เฟรน ครับ มึง ไม่ ได้ เพิ่มเติม เนื้อหา ด้วย มึง ก๊อ ป ขับ,ไม่ ครับ นี่ ไม่ ใช่ เร ฟเฟอ เร้น ครับ มึง ไม่ ได้ เพิ่มเติม เนื้อหา ด้วย มึง ก็อป ครับ,ไม่ครับนี่ไม่ใช่ไรเฟรนครับมึงไม่ได้เพิ่มเติมเนื้อหาด้วยมึงก๊อปขับ
65,และนี่ก็คือปกคลิปที่เราตามสืบกันมาครับคุณจะสังเกตว่ามันไม่ได้เหมือนกันร้อยเปอร์เซ็น,และ นี่ ก็ คือ ปก คลิป ที่ เรา ตาม สืบ แต่ มา ครับ คุณ จะ สังเกตว่า มัน ไม่ ได้ เหมือนกัน ร้อย เปอร์เซ็นต์,และ นี่ ก็ คือ ปก คลิป ที่ เรา ตาม สืบกันมา ครับ คุณ จะ สังเกตว่า มัน ไม่ ได้ เหมือนกัน ร้อย เปอร์ เซ็น,และนี่ก็คือปกคลิปที่เราตามสืบแต่มาครับคุณจะสังเกตว่ามันไม่ได้เหมือนกันร้อยเปอร์เซ็นต์
66,เพราะว่าคนไทยเนี่ยครับชอบดูอะไรควายควาย,เพราะว่า คนไทย เนี่ย ครับ ชอบ ดู แล้ ค้า ควาย งี้,เพราะว่า คนไทย เนี่ย ครับ ชอบ ดู อะไร ควาย ควาย,เพราะว่าคนไทยเนี่ยครับชอบดูแล้ค้าควายงี้
67,นี้กูไม่กินขนมนอกจากเซี่ยงไฮ้และเบงเบงรสช็อกโกแลตกูกินได้แค่นั้นเคยไปกินอาฟเตอยูอ่ะสั่งอะไร,วค นี้ กู ไม่ กิน ขน นม นอกจาก เซียงไฮ้ ระเบง เบงรถ ชอก โก แ็ต อะ ก กิน ได้ แค่นั้น เคย ไป กิน อัพเตอ์ ยู อ่ะ สั่อะไลั,นี้ กู ไม่ กิน ขนม นอกจาก เซี่ยงไฮ้ และ เบงเบงรส ช็อกโกแลต กู กิน ได้ แค่นั้น เคย ไป กิน อา ฟ เต อ ยู อ่ะ สั่ง อะไร,วคนี้กูไม่กินขนนมนอกจากเซียงไฮ้ระเบงเบงรถชอกโกแ็ตอะกกินได้แค่นั้นเคยไปกินอัพเตอ์ยูอ่ะสั่อะไลั
68,ดึงดึงดึงดึงดึงดึงดึงไปถึงที่นั่นตั้งแต่บ่ายสี่โมงอ่ะภารกิจคือออปเจคทีฟคือทำยังไงก็ได้ให้,ดึง ดึง ดึง ดึง ดึง ดึง ดึง ไป ถง ที่ นาง ตด บาย สี่ โมง อ่ะ ธาร กิจ คือ ออ พตี้ ทิป คือ ทำ ยัง ก็ได้,ดึง ดึง ดึง ดึง ดึง ดึง ดึง ไป ถึง ที่นั่น ตั้งแต่ บ่าย สี่ โมง อ่ะ ภารกิจ คือ ออ ป เจ ค ที ฟ คือ ทำ ยังไง ก็ได้ ให้,ดึงดึงดึงดึงดึงดึงดึงไปถงที่นางตดบายสี่โมงอ่ะธารกิจคือออพตี้ทิปคือทำยังก็ได้
69,และหลังจากที่เราจัดการปัญหาของไอ้หน้าจืดที่แม่งเสือกไม่ปิด,และ หลังจากที่ เรา จัดการ ปัญหา โห อย น้า จื่อ ที่ แม่ ง เสือก ไม่ บี,และ หลังจากที่ เรา จัดการ ปัญหา ของ ไอ้ หน้าจืด ที่ แม่ ง เสือก ไม่ ปิด,และหลังจากที่เราจัดการปัญหาโหอยน้าจื่อที่แม่งเสือกไม่บี
70,กูสั่งให้ไปตายเว้ยไป,เย ี กู สั่ง ให้ ไม่ ตาย เว้ วย ไม่ โอ้ว ห,กู สั่ง ให้ ไป ตาย เว้ย ไป,เยีกูสั่งให้ไม่ตายเว้วยไม่โอ้วห
71,เนี้ยโอเคผมได้อัลติละเดี๋ยวรอผมได้ดาบฟาร์มหรือว่าของป่าชิ้นใหม่ก่อนนะ,ถ นี้ ย โอเค ผม แนด ดีแล้ว เดี๋ยว ลอก ผม ได้ ดาบ ฟาร์ม หรู อ่า ของ ปาก ชิบ ใหม่ ก่ว นะ,เนี้ย โอเค ผม ได้ อัล ติละ เดี๋ยว รอ ผม ได้ ดาบ ฟาร์ม หรือว่า ของป่า ชิ้น ใหม่ ก่อน นะ,ถนี้ยโอเคผมแนดดีแล้วเดี๋ยวลอกผมได้ดาบฟาร์มหรูอ่าของปากชิบใหม่ก่วนะ
72,นี่นี่เดี๋ยวกูจะ,นี่ เนี่ย เดี๋ยว กู ด้า,นี่ นี่ เดี๋ยว กู จะ,นี่เนี่ยเดี๋ยวกูด้า
73,แต่แม่งคริ้นชิบหาย,แต่ แม่ งค ริ้น ชิบหาย,แต่ แม่ งค ริ้น ชิบหาย,แต่แม่งคริ้นชิบหาย
74,ภาพในหัวคุณให้เปลี่ยนเป็นภาพไอ้เหี้ยนี่เลยก่อนที่เราจะมา,ภาพ ใน หัว ของ คุณ ให้ เป็น ภาพ ไอ้ เหี้ย นี้ เลย ก่อนที่ เรา จะ มา,ภาพ ใน หัว คุณ ให้ เปลี่ยนเป็น ภาพ ไอ้ เหี้ย นี่ เลย ก่อนที่ เรา จะ มา,ภาพในหัวของคุณให้เป็นภาพไอ้เหี้ยนี้เลยก่อนที่เราจะมา
75,นึงมีเพลงนึงโอดังสัดมึงเข้าใจร้านไหมร้านตึกคูหาเล็กเล็กอ่ะหนึ่งร้านมีเพลงหนึ่งหนึ่งร้านมี,มึง มี เพล หึง โอ สัน สัด มึง เข้าใจ ร้า นา ร้า ตึก คู หย อี กล วย อะ นึ่ง ร้าน มี เพลง ห นึง นึ่ง ร้าน มี,นึง มี เพลง นึง โอ ดัง สัด มึง เข้าใจ ร้าน ไหม ร้าน ตึก คูหา เล็ก เล็ก อ่ะ หนึ่ง ร้าน มี เพลง หนึ่ง หนึ่ง ร้าน มี,มึงมีเพลหึงโอสันสัดมึงเข้าใจร้านาร้าตึกคูหยอีกลวยอะนึ่งร้านมีเพลงหนึงนึ่งร้านมี
76,เย็ดแม่มึงคนหีไง,ไอ้ เย็ด แม่ มึง ฆัน หีน,เย็ด แม่ มึง คน หี ไง,ไอ้เย็ดแม่มึงฆันหีน
77,สามคนนะเอาผมไม่ลงอ่ะผมซัดหน้าทีเดียวหงายนะสามคนเมื่อวานนะเออกระจอก,สาม คน นะ เอา ผม ไม่ ลง อะ ผม ซัด ตาด เบีย วหา ยณะ สาม คน เมื่อ ว่าน อะ ออ ก็ จอก,สาม คน นะ เอา ผม ไม่ ลง อ่ะ ผม ซัด หน้า ทีเดียว หงาย นะ สาม คน เมื่อวาน นะ เออ กระจอก,สามคนนะเอาผมไม่ลงอะผมซัดตาดเบียวหายณะสามคนเมื่อว่านอะออก็จอก
78,ขาดูหีไหมอ้าวดูดิอยากให้ดูก็ดู,ขา ดู หี ไหม อ่าว ดูดิ อยาก ให้ ดู ก็ ดู ู,ขา ดู หี ไหม อ้าว ดูดิ อยาก ให้ ดู ก็ ดู,ขาดูหีไหมอ่าวดูดิอยากให้ดูก็ดูู
79,การแข่งขันอั้นนี้ไงเข้าเรียกอะไรวะอ๋อการแข่งขันที่พึ่งผ่านมาผมได้ถ้วยรางวัลไง,น ขัน อันนี้ ไง ค เรี้ย ไร วะ ห่อ กา ขัน ที่ พูน ผา น นะ ผม ได้ ด้วย ราง วัน ไง,การแข่งขัน อั้น นี้ ไง เข้า เรียก อะไร วะ อ๋อ การแข่งขัน ที่พึ่ง ผ่าน มา ผม ได้ ถ้วยรางวัล ไง,นขันอันนี้ไงคเรี้ยไรวะห่อกาขันที่พูนผานนะผมได้ด้วยรางวันไง
80,เหี้ยแบบโดนกระชากเสื้อไปเดินไปยังสุดซอยถูกใจยังอ่ะเนี่ยยังไม่ถูกใจระหว่างพูด,หไ้ แบบ โดน กระชาก เสื้อ ไป เดิน ได ีย สุด ซอย ถูกใจ อ ยาง ม่ เห ็้นเหี่ยง ไม่ ถูกใจ ระหว่าง พูด,เหี้ย แบบ โดน กระชาก เสื้อ ไป เดิน ไป ยัง สุด ซอย ถูกใจ ยัง อ่ะ เนี่ย ยัง ไม่ ถูกใจ ระหว่าง พูด,หไ้แบบโดนกระชากเสื้อไปเดินไดียสุดซอยถูกใจอยางม่เห็้นเหี่ยงไม่ถูกใจระหว่างพูด
81,มึงไม่รู้พลังที่แท้จริงของเขาเว้ย,มึง ไม่ รู้ พลัง ที่ แท้จริง ของ เขา เว้ย,มึง ไม่ รู้ พลัง ที่ แท้จริง ของ เขา เว้ย,มึงไม่รู้พลังที่แท้จริงของเขาเว้ย
82,คือไอ้คนที่อยากจะให้เครดิตเนี้ยครับถ้าเกิดว่ามันอยากจะให้เครดิตจริงจริงนะครับ,คือ คน ที่ อยาก จะ ให้ เครดิต เนี่ย ครับ ถ้า เกิด ว่า มัน อยาก จะ ให้ เครดิต จริง จริง เนี่ย ครับ,คือ ไอ้ คน ที่ อยาก จะ ให้ เครดิต เนี้ย ครับ ถ้า เกิด ว่า มัน อยาก จะ ให้ เครดิต จริง จริง นะ ครับ,คือคนที่อยากจะให้เครดิตเนี่ยครับถ้าเกิดว่ามันอยากจะให้เครดิตจริงจริงเนี่ยครับ
83,ต้องไปทำด่วนด่วนมันเป็นธุระของคนรวยเข้าใจผมด้วยโอโหไอ้นี่เข้าผมแล้วครับท่านผู้ชม,ไป ทำ ส่วน ดวน เป็นธุระ ของ รวย อะ เข้าใจ ผม เลว ย กู ไอ้ นี่ เข้า เล้ว ทั้ง ท่า เห้ย นี่ มะ ครับผม วะ,ต้อง ไป ทำ ด่วน ด่วน มัน เป็นธุระ ของ คนรวย เข้าใจ ผม ด้วย โอ โห ไอ้ นี่ เข้า ผม แล้ว ครับ ท่าน ผู้ชม,ไปทำส่วนดวนเป็นธุระของรวยอะเข้าใจผมเลวยกูไอ้นี่เข้าเล้วทั้งท่าเห้ยนี่มะครับผมวะ
84,หนีเพื่อนกูตายกูจะไม่ยอมถอยมึงเจอ,หนี อื้ย เพื่อน กู ตาย เววย ไม่ ยอม ถอย มึง จอ,หนี เพื่อน กู ตาย กู จะ ไม่ ยอม ถอย มึง เจอ,หนีอื้ยเพื่อนกูตายเววยไม่ยอมถอยมึงจอ
85,ทำให้ผมครับสามารถที่จะตัดสินทุกทุกคนและทุกทุกอย่างได้อย่างเท่า,เทราะ ให้ ผม ครับ สามารถ ที่จะ ตัดสิน ทุ ทุก คล และ ทุก ทุกอย่าง ได้ อย่าง เท่าที่,ทำให้ ผม ครับ สามารถ ที่จะ ตัดสิน ทุก ทุกคน และ ทุก ทุกอย่าง ได้ อย่าง เท่า,เทราะให้ผมครับสามารถที่จะตัดสินทุทุกคลและทุกทุกอย่างได้อย่างเท่าที่
86,พี่ค้าดูหีไหมฮะสุลต่านได้ยินวอทดูยูเซดูหีไหม,พี่ ค้า ดู หี ไหม หะ สุว ต่าน ได้ยิน บ ดู ซิ้ง ดู หี ไหม,พี่ ค้า ดู หี ไหม ฮะ สุลต่าน ได้ยิน วอ ท ดู ยู เซ ดู หี ไหม,พี่ค้าดูหีไหมหะสุวต่านได้ยินบดูซิ้งดูหีไหม
87,ให้พี่ก็ได้ได้โบะบ้ะกับใครสักคนสี่ทุ่มปุ้บเมืองพัททะแย้เนี่ยเป็นเด็กชายหาดแล้วมีถนนคอน,ด้ พี่ กู ได้ ได้ โบ๊ะ บา กับ ใคร สัก คน สี่ ทุ่ม ปุม เมือง พัท แย้ เนี่ย เป็ด ็ก ชายหาด แล้ว มี ถนน คอน,ให้ พี่ ก็ได้ ได้ โบะบ้ะ กับ ใคร สัก คน สี่ ทุ่ม ปุ้บ เมือง พัท ทะ แย้ เนี่ย เป็น เด็ก ชายหาด แล้ว มี ถนน คอน,ด้พี่กูได้ได้โบ๊ะบากับใครสักคนสี่ทุ่มปุมเมืองพัทแย้เนี่ยเป็ด็กชายหาดแล้วมีถนนคอน
88,ไอ้เด็กเปรตแม่งเอ้ยไอ้ต๋อย,ไอ้ เด็ก เปร ด แม่ ง เอ้ย ไอ้ ตอด,ไอ้ เด็ก เปรต แม่ ง เอ้ย ไอ้ ต๋อย,ไอ้เด็กเปรดแม่งเอ้ยไอ้ตอด
89,โหยกูมาแตกหนึ่งเก้าไอดีหลัก,เอ้ย โห้ กู มา ติด เม่ง เก้า ว ไว้ นี่ ล่ะ,โหย กู มา แตก หนึ่ง เก้า ไอ ดี หลัก,เอ้ยโห้กูมาติดเม่งเก้าวไว้นี่ล่ะ
90,ไอ้เหี้ย,ไอ้ เหี้ย,ไอ้ เหี้ย,ไอ้เหี้ย
91,ในอันนี้ครับด้านซ้ายเขาเอาคลิปของอื่นมาแปะเช่นเดียว,ใน ะ ยา นี้ ครับ ด้าน ซ้าย เขา า เอา คลิป ของ คนอื่น มา แปะ ใช เนี่ย ว,ใน อันนี้ ครับ ด้าน ซ้าย เขา เอา คลิป ของ อื่น มา แปะ เช่น เดียว,ในะยานี้ครับด้านซ้ายเขาาเอาคลิปของคนอื่นมาแปะใชเนี่ยว
92,ตายได้ดิ,ตาย ได้ ดิ,ตาย ได้ ดิ,ตายได้ดิ
93,คือมันก๊อปเว้ยเชี่ยแต่มันมันยอมรับออกมาว่าก๊อปอ่ะ,เถ้อ มัน ก๊อ ป เว้ย เชี่ย แต่ มัน มึง จัง มัน ยอมรับ ออกมา ว่า ก๊อ ป,คือ มัน ก๊อ ป เว้ย เชี่ย แต่ มัน มัน ยอมรับ ออกมา ว่า ก๊อ ป อ่ะ,เถ้อมันก๊อปเว้ยเชี่ยแต่มันมึงจังมันยอมรับออกมาว่าก๊อป
94,มึงต้องไปในโซนโซนนั้นมึงไม่ใช่เข้าไปในซอยคือมึงจะไปทำอะไรคือมึงจะไปทำ,มึง ต้อง ไป ใน โซน โซ นั้น มึง ไม่ ใช่ เข้าไป ใน ซอย คอืึงมึงั่ ไป ท อะไร คือ ือ มี ไท ำ,มึง ต้อง ไป ใน โซน โซน นั้น มึง ไม่ ใช่ เข้าไป ใน ซอย คือ มึง จะ ไป ทำ อะไร คือ มึง จะ ไป ทำ,มึงต้องไปในโซนโซนั้นมึงไม่ใช่เข้าไปในซอยคอืึงมึงั่ไปทอะไรคือือมีไทำ
95,อย่าอย่าอย่าโห่วีร่าบลิ้งมาเลยบลิ้งมาเลยไอ้พวกโง่หิวจัด,อย่า ย่า ย่า โท วี ร่า ดิ้งีง มา เลย นี้ มา เลย ไอ้ พวก โง่ หิว จ่า น,อย่า อย่า อย่า โห่ วี ร่า บลิ้ง มา เลย บลิ้ง มา เลย ไอ้ พวก โง่ หิวจัด,อย่าย่าย่าโทวีร่าดิ้งีงมาเลยนี้มาเลยไอ้พวกโง่หิวจ่าน
96,นี่แม่งคือคลิปขอเท่,นี่ มัน คือ คลิป ขอ เท่,นี่ แม่ ง คือ คลิป ขอ เท่,นี่มันคือคลิปขอเท่
97,ไอ้พวกหัวองคชาตินี่แม่งไม่รู้สึกตัวเหี้ย,ไอ้ พวก หัว อง ก ชา ดิ นี่ แม่ ง ไม่ รู้สึกตัว เหี้ย,ไอ้ พวก หัว องค ชาติ นี่ แม่ ง ไม่ รู้สึกตัว เหี้ย,ไอ้พวกหัวองกชาดินี่แม่งไม่รู้สึกตัวเหี้ย
98,สามเครื่องอ่ะเวลาเล่นอาโอวีอ่ะเออแต่ละเครื่องนี่เครื่องละหนึ่งแสนกูบอกไว้เลยอะ,สาม เครื่อง อา เวลาเล่น นาวี อเอื่อ แต่ละ เครื่อง นี่ ี เค รื่อน หนึ่ง แสน น่ะ ผม บอก ก็ เลย ฮะ,สาม เครื่อง อ่ะ เวลาเล่น อา โอ วี อ่ะ เออ แต่ละ เครื่อง นี่ เครื่อง ละ หนึ่ง แสน กู บอก ไว้ เลย อะ,สามเครื่องอาเวลาเล่นนาวีอเอื่อแต่ละเครื่องนี่ีเครื่อนหนึ่งแสนน่ะผมบอกก็เลยฮะ
99,แม่งดูแบบไร้สาระวะ,แม่ ง ดู แบบ ไร้ ส ร้า ว่ะ,แม่ ง ดู แบบ ไร้สาระ วะ,แม่งดูแบบไร้สร้าว่ะ
100,คือแม่งเกาะแดกคลิปของสปีดจนฟันแห้งอ่ะ,คือ แม่ ง เกาะ แดก คลิป ของ ส ปี จน ฟัน แห้ง อ่ะ ถ้า,คือ แม่ ง เกาะ แดก คลิป ของ สปีด จน ฟัน แห้ง อ่ะ,คือแม่งเกาะแดกคลิปของสปีจนฟันแห้งอ่ะถ้า
101,ห่้ะหะเดี๋ยวอะไรนะพี่เอาจริงป่ะเอาจริงซันนี่เอาจริง,ฮ้ะห้ะ เดี๋ยว อะไร นะ พี่ อ จริง ว้ะ เอา จิ งก อน นี้ เอาจริง,ห่้ะ หะ เดี๋ยว อะไร นะ พี่ เอาจริง ป่ะ เอาจริง ซันนี่ เอาจริง,ฮ้ะห้ะเดี๋ยวอะไรนะพี่อจริงว้ะเอาจิงกอนนี้เอาจริง
102,ถ้าเกิดว่าคุณตั้งใจจะทำอะไรสักอย่างหนึ่งแล้วไม่ย่อท้อเกี่ยวกับมัน,ถ้า เกิด ว่า คุณ ตั้งใจ จะ ทำ อะไร สัก อย่างหนึ่ง และ ไม่ ยอด ช้อป เกียจ ของ มัน,ถ้า เกิด ว่า คุณ ตั้งใจ จะ ทำ อะไร สัก อย่างหนึ่ง แล้ว ไม่ ย่อท้อ เกี่ยวกับ มัน,ถ้าเกิดว่าคุณตั้งใจจะทำอะไรสักอย่างหนึ่งและไม่ยอดช้อปเกียจของมัน
103,เป็นชุดกี่เพากี่เผ่ากี่เผ่ากี่ช่างแม่งอ่ะโอเคชุดจีนน่ะ,น เป็น ชุด กี่ ผ้า ว กี่ เพา กี เผ่า กีบ ทั่าง แม่ ง อ่ะ เค ชุด จีน น่ะ,เป็น ชุด กี่ เพา กี่ เผ่า กี่ เผ่า กี่ ช่าง แม่ ง อ่ะ โอเค ชุด จีน น่ะ,นเป็นชุดกี่ผ้าวกี่เพากีเผ่ากีบทั่างแม่งอ่ะเคชุดจีนน่ะ
104,น่าสงสัยใช่ไหมครับแต่ผมไม่ใช่คนอคติครับผมก็เลยเข้าไปดูทั้งสอง,น่าสงสัย ใช่ไหม ครับ แต่ ผม ไม่ ใช่ คน อก ติ ครับผม ก็ เลย ข้อ บน ดู ทั้งสอง ชิ,น่าสงสัย ใช่ไหม ครับ แต่ ผม ไม่ ใช่ คน อคติ ครับผม ก็ เลย เข้า ไปดู ทั้งสอง,น่าสงสัยใช่ไหมครับแต่ผมไม่ใช่คนอกติครับผมก็เลยข้อบนดูทั้งสองชิ
105,อ้าวว่าไงพ่อโทรบอกว่าซอยคาวบอยไม่เห็นได้อะไรเลยโอ้ยซอยคาวบอยเนี่ยมันเป็น,เออ ว่า ไง พ่อ โทร บอ กว่า ซอย คอ วบ ล้อ ย เห ม้ ได้ ไร เลย โอ้ย ขอก บอย เนี่ย มัน เป็น,อ้าว ว่า ไง พ่อ โทร บอ กว่า ซอย คาวบอย ไม่ เห็น ได้ อะไร เลย โอ้ย ซอย คาวบอย เนี่ย มัน เป็น,เออว่าไงพ่อโทรบอกว่าซอยคอวบล้อยเหม้ได้ไรเลยโอ้ยขอกบอยเนี่ยมันเป็น
106,มีอีวีร่ากวนส้นตีนนะมึงอย่ากวนตีนนะแม่งตั้นกู,นี อี วี ร่า กัน สตี น นะ ไเอี๋ยวกน ตีน นะ แม่ งตั้น กู,มี อี วี ร่า กวน ส้นตีน นะ มึง อย่า กวน ตีน นะ แม่ งตั้น กู,นีอีวีร่ากันสตีนนะไเอี๋ยวกนตีนนะแม่งตั้นกู
107,เด็กเปรตแม่งเสียเวลากับมึงไปครึ่งชั่วโมงเลย,เด็ก เปร ด แม่ ง เสีย ก เวลา กับ มึง ใน ครึ่ง ชั่วโมง เลย,เด็ก เปรต แม่ ง เสียเวลา กับ มึง ไป ครึ่ง ชั่วโมง เลย,เด็กเปรดแม่งเสียกเวลากับมึงในครึ่งชั่วโมงเลย
108,ฮ้าไอ้ควายมึงให้ขี้,เอือ ไอ้ ควาย ไม่ ขี้ ด,ฮ้า ไอ้ ควาย มึง ให้ ขี้,เอือไอ้ควายไม่ขี้ด
